Date,Source,State,Potential Capacity,Installed Capacity
2023-11-01,Hydro,Andaman and Nicobar Islands,145320.0,46880.17
2023-11-01,Wind,Andaman and Nicobar Islands,695509.0,44563.68
2023-11-01,Solar,Andaman and Nicobar Islands,748990.0,72311.72
2023-11-01,Bio Power,Andaman and Nicobar Islands,25094.0,10836.37
2023-11-01,Small-Hydro,Andaman and Nicobar Islands,21130.0,4986.74
2023-11-01,Hydro,Andhra Pradesh,145320.0,46880.17
2023-11-01,Wind,Andhra Pradesh,695509.0,44563.68
2023-11-01,Solar,Andhra Pradesh,748990.0,72311.72
2023-11-01,Bio Power,Andhra Pradesh,25094.0,10836.37
2023-11-01,Small-Hydro,Andhra Pradesh,21130.0,4986.74
2023-11-01,Hydro,Arunachal Pradesh,145320.0,46880.17
2023-11-01,Wind,Arunachal Pradesh,695509.0,44563.68
2023-11-01,Solar,Arunachal Pradesh,748990.0,72311.72
2023-11-01,Bio Power,Arunachal Pradesh,25094.0,10836.37
2023-11-01,Small-Hydro,Arunachal Pradesh,21130.0,4986.74
2023-11-01,Hydro,Assam,145320.0,46880.17
2023-11-01,Wind,Assam,695509.0,44563.68
2023-11-01,Solar,Assam,748990.0,72311.72
2023-11-01,Bio Power,Assam,25094.0,10836.37
2023-11-01,Small-Hydro,Assam,21130.0,4986.74
2023-11-01,Hydro,Bihar,145320.0,46880.17
2023-11-01,Wind,Bihar,695509.0,44563.68
2023-11-01,Solar,Bihar,748990.0,72311.72
2023-11-01,Bio Power,Bihar,25094.0,10836.37
2023-11-01,Small-Hydro,Bihar,21130.0,4986.74
2023-11-01,Hydro,Chandigarh,145320.0,46880.17
2023-11-01,Wind,Chandigarh,695509.0,44563.68
2023-11-01,Solar,Chandigarh,748990.0,72311.72
2023-11-01,Bio Power,Chandigarh,25094.0,10836.37
2023-11-01,Small-Hydro,Chandigarh,21130.0,4986.74
2023-11-01,Hydro,Chhattisgarh,145320.0,46880.17
2023-11-01,Wind,Chhattisgarh,695509.0,44563.68
2023-11-01,Solar,Chhattisgarh,748990.0,72311.72
2023-11-01,Bio Power,Chhattisgarh,25094.0,10836.37
2023-11-01,Small-Hydro,Chhattisgarh,21130.0,4986.74
2023-11-01,Hydro,Dadra and Nagar Haveli,145320.0,46880.17
2023-11-01,Wind,Dadra and Nagar Haveli,695509.0,44563.68
2023-11-01,Solar,Dadra and Nagar Haveli,748990.0,72311.72
2023-11-01,Bio Power,Dadra and Nagar Haveli,25094.0,10836.37
2023-11-01,Small-Hydro,Dadra and Nagar Haveli,21130.0,4986.74
2023-11-01,Hydro,Daman and Diu,145320.0,46880.17
2023-11-01,Wind,Daman and Diu,695509.0,44563.68
2023-11-01,Solar,Daman and Diu,748990.0,72311.72
2023-11-01,Bio Power,Daman and Diu,25094.0,10836.37
2023-11-01,Small-Hydro,Daman and Diu,21130.0,4986.74
2023-11-01,Hydro,Delhi,145320.0,46880.17
2023-11-01,Wind,Delhi,695509.0,44563.68
2023-11-01,Solar,Delhi,748990.0,72311.72
2023-11-01,Bio Power,Delhi,25094.0,10836.37
2023-11-01,Small-Hydro,Delhi,21130.0,4986.74
2023-11-01,Hydro,Goa,145320.0,46880.17
2023-11-01,Wind,Goa,695509.0,44563.68
2023-11-01,Solar,Goa,748990.0,72311.72
2023-11-01,Bio Power,Goa,25094.0,10836.37
2023-11-01,Small-Hydro,Goa,21130.0,4986.74
2023-11-01,Hydro,Gujarat,145320.0,46880.17
2023-11-01,Wind,Gujarat,695509.0,44563.68
2023-11-01,Solar,Gujarat,748990.0,72311.72
2023-11-01,Bio Power,Gujarat,25094.0,10836.37
2023-11-01,Small-Hydro,Gujarat,21130.0,4986.74
2023-11-01,Hydro,Haryana,145320.0,46880.17
2023-11-01,Wind,Haryana,695509.0,44563.68
2023-11-01,Solar,Haryana,748990.0,72311.72
2023-11-01,Bio Power,Haryana,25094.0,10836.37
2023-11-01,Small-Hydro,Haryana,21130.0,4986.74
2023-11-01,Hydro,Himachal Pradesh,145320.0,46880.17
2023-11-01,Wind,Himachal Pradesh,695509.0,44563.68
